2023-01-08 12:51:20 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.2.5.Final 
2023-01-08 12:51:20 [restartedMain] INFO  c.v.Slide08Application                             - Starting Slide08Application using Java 11.0.15 on DESKTOP-6Q3E670 with PID 4060 (D:\IntelliJ IDEA Community\IdeaProjects\Rocket26\Java Advanced\Spring\slide-08\target\classes started by Hieu in D:\IntelliJ IDEA Community\IdeaProjects\Rocket26\Java Advanced\Spring\slide-08) 
2023-01-08 12:51:20 [restartedMain] INFO  c.v.Slide08Application                             - No active profile set, falling back to 1 default profile: "default" 
2023-01-08 12:51:20 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2023-01-08 12:51:20 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2023-01-08 12:51:21 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2023-01-08 12:51:21 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 52 ms. Found 2 JPA repository interfaces. 
2023-01-08 12:51:22 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8080 (http) 
2023-01-08 12:51:22 [restartedMain] INFO  o.a.c.c.AprLifecycleListener                       - Loaded Apache Tomcat Native library [1.2.35] using APR version [1.7.0]. 
2023-01-08 12:51:22 [restartedMain] INFO  o.a.c.c.AprLifecycleListener                       - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true]. 
2023-01-08 12:51:22 [restartedMain] INFO  o.a.c.c.AprLifecycleListener                       - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true] 
2023-01-08 12:51:22 [restartedMain] INFO  o.a.c.c.AprLifecycleListener                       - OpenSSL successfully initialized [OpenSSL 1.1.1q  5 Jul 2022] 
2023-01-08 12:51:22 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8080"] 
2023-01-08 12:51:22 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2023-01-08 12:51:22 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.65] 
2023-01-08 12:51:22 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2023-01-08 12:51:22 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 2056 ms 
2023-01-08 12:51:22 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default] 
2023-01-08 12:51:22 [restartedMain] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 5.6.11.Final 
2023-01-08 12:51:23 [restartedMain] INFO  o.h.a.c.Version                                    - HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2023-01-08 12:51:23 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting... 
2023-01-08 12:51:23 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed. 
2023-01-08 12:51:23 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect 
2023-01-08 12:51:24 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2023-01-08 12:51:24 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2023-01-08 12:51:24 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
